County,State,Category Type,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
Hamblen County,Tennessee,Male,"32,662","2,224","1,804","2,285","2,352","2,460","1,216","2,325","1,467","2,388","2,601","2,125","2,382","1,932","1,921","1,262",967,429,522,"4,089","1,462","7,775","3,350","12,208",N,"24,887","23,907","7,033","6,659","5,101","1,918"
Hamblen County,Tennessee,Percent Male,(X),6.80%,5.50%,7.00%,7.20%,7.50%,3.70%,7.10%,4.50%,7.30%,8.00%,6.50%,7.30%,5.90%,5.90%,3.90%,3.00%,1.30%,1.60%,12.50%,4.50%,23.80%,10.30%,37.40%,N,76.20%,73.20%,21.50%,20.40%,15.60%,5.90%
Hamblen County,Tennessee,Female,"32,506","1,651","1,954","1,846","1,726","2,338","2,251","2,110","1,846","1,859","1,828","2,569","1,588","2,578","1,509","1,936","1,704",722,491,"3,800","1,395","6,846","2,669","12,130",N,"25,660","24,530","8,940","8,085","6,362","2,917"
Hamblen County,Tennessee,Percent Female,(X),5.10%,6.00%,5.70%,5.30%,7.20%,6.90%,6.50%,5.70%,5.70%,5.60%,7.90%,4.90%,7.90%,4.60%,6.00%,5.20%,2.20%,1.50%,11.70%,4.30%,21.10%,8.20%,37.30%,N,78.90%,75.50%,27.50%,24.90%,19.60%,9.00%
Hamilton County,Tennessee,Total,"374,682","21,415","20,356","22,505","22,824","22,862","25,429","27,704","26,474","22,276","22,084","22,956","23,671","24,539","23,412","16,430","13,145","7,815","8,785","42,861","13,250","77,526","32,436","147,569","307,363","297,156","282,173","94,126","84,685","69,587","29,745"
Hamilton County,Tennessee,Percent,(X),5.70%,5.40%,6.00%,6.10%,6.10%,6.80%,7.40%,7.10%,5.90%,5.90%,6.10%,6.30%,6.50%,6.20%,4.40%,3.50%,2.10%,2.30%,11.40%,3.50%,20.70%,8.70%,39.40%,82.00%,79.30%,75.30%,25.10%,22.60%,18.60%,7.90%
Hamilton County,Tennessee,Male,"182,132","11,009","10,832","11,355","11,330","11,207","12,912","13,492","12,779","11,051","11,556","11,126","11,398","12,055","10,806","7,473","5,728","3,208","2,815","22,187","6,619","39,815","15,918","72,771","147,542","142,317","134,815","42,085","38,108","30,030","11,751"
Hamilton County,Tennessee,Percent Male,(X),6.00%,5.90%,6.20%,6.20%,6.20%,7.10%,7.40%,7.00%,6.10%,6.30%,6.10%,6.30%,6.60%,5.90%,4.10%,3.10%,1.80%,1.50%,12.20%,3.60%,21.90%,8.70%,40.00%,81.00%,78.10%,74.00%,23.10%,20.90%,16.50%,6.50%
Hamilton County,Tennessee,Female,"192,550","10,406","9,524","11,150","11,494","11,655","12,517","14,212","13,695","11,225","10,528","11,830","12,273","12,484","12,606","8,957","7,417","4,607","5,970","20,674","6,631","37,711","16,518","74,798","159,821","154,839","147,358","52,041","46,577","39,557","17,994"
Hamilton County,Tennessee,Percent Female,(X),5.40%,4.90%,5.80%,6.00%,6.10%,6.50%,7.40%,7.10%,5.80%,5.50%,6.10%,6.40%,6.50%,6.50%,4.70%,3.90%,2.40%,3.10%,10.70%,3.40%,19.60%,8.60%,38.80%,83.00%,80.40%,76.50%,27.00%,24.20%,20.50%,9.30%
Knox County,Tennessee,Total,"494,574","26,563","27,336","29,582","34,116","44,989","34,046","33,949","32,662","30,564","29,171","30,186","28,727","31,285","23,282","24,105","16,757","9,356","7,898","56,918","18,222","101,703","60,883","210,326","405,875","392,871","368,215","112,683","100,817","81,398","34,011"
Knox County,Tennessee,Percent,(X),5.40%,5.50%,6.00%,6.90%,9.10%,6.90%,6.90%,6.60%,6.20%,5.90%,6.10%,5.80%,6.30%,4.70%,4.90%,3.40%,1.90%,1.60%,11.50%,3.70%,20.60%,12.30%,42.50%,82.10%,79.40%,74.50%,22.80%,20.40%,16.50%,6.90%
Knox County,Tennessee,Male,"242,250","13,776","12,871","16,314","17,052","22,455","17,311","17,084","16,744","14,500","14,960","14,708","14,171","14,748","10,131","11,686","7,235","3,672","2,832","29,185","9,228","52,189","30,279","105,146","197,001","190,061","177,570","50,304","44,694","35,556","13,739"
Knox County,Tennessee,Percent Male,(X),5.70%,5.30%,6.70%,7.00%,9.30%,7.10%,7.10%,6.90%,6.00%,6.20%,6.10%,5.80%,6.10%,4.20%,4.80%,3.00%,1.50%,1.20%,12.00%,3.80%,21.50%,12.50%,43.40%,81.30%,78.50%,73.30%,20.80%,18.40%,14.70%,5.70%
Knox County,Tennessee,Female,"252,324","12,787","14,465","13,268","17,064","22,534","16,735","16,865","15,918","16,064","14,211","15,478","14,556","16,537","13,151","12,419","9,522","5,684","5,066","27,733","8,994","49,514","30,604","105,180","208,874","202,810","190,645","62,379","56,123","45,842","20,272"
Knox County,Tennessee,Percent Female,(X),5.10%,5.70%,5.30%,6.80%,8.90%,6.60%,6.70%,6.30%,6.40%,5.60%,6.10%,5.80%,6.60%,5.20%,4.90%,3.80%,2.30%,2.00%,11.00%,3.60%,19.60%,12.10%,41.70%,82.80%,80.40%,75.60%,24.70%,22.20%,18.20%,8.00%
Madison County,Tennessee,Total,"99,245","6,217","6,101","5,842","7,288","6,851","7,086","4,920","6,414","6,136","5,780","5,186","6,580","6,789","5,375","5,590","3,814","1,702","1,574","11,943","3,811","21,971","10,328","38,695","80,227","77,274","71,923","24,844","21,631","18,055","7,090"
Madison County,Tennessee,Percent,(X),6.30%,6.10%,5.90%,7.30%,6.90%,7.10%,5.00%,6.50%,6.20%,5.80%,5.20%,6.60%,6.80%,5.40%,5.60%,3.80%,1.70%,1.60%,12.00%,3.80%,22.10%,10.40%,39.00%,80.80%,77.90%,72.50%,25.00%,21.80%,18.20%,7.10%
Madison County,Tennessee,Male,"46,893","3,186","2,965","2,653","3,604","2,751","3,460","2,786","2,683","2,965","2,491","2,889","2,763","3,806","2,639","2,435","1,588",734,495,"5,618","1,562","10,366","4,793","18,249","37,628","36,527","33,414","11,697","9,873","7,891","2,817"
Madison County,Tennessee,Percent Male,(X),6.80%,6.30%,5.70%,7.70%,5.90%,7.40%,5.90%,5.70%,6.30%,5.30%,6.20%,5.90%,8.10%,5.60%,5.20%,3.40%,1.60%,1.10%,12.00%,3.30%,22.10%,10.20%,38.90%,80.20%,77.90%,71.30%,24.90%,21.10%,16.80%,6.00%
Madison County,Tennessee,Female,"52,352","3,031","3,136","3,189","3,684","4,100","3,626","2,134","3,731","3,171","3,289","2,297","3,817","2,983","2,736","3,155","2,226",968,"1,079","6,325","2,249","11,605","5,535","20,446","42,599","40,747","38,509","13,147","11,758","10,164","4,273"
Madison County,Tennessee,Percent Female,(X),5.80%,6.00%,6.10%,7.00%,7.80%,6.90%,4.10%,7.10%,6.10%,6.30%,4.40%,7.30%,5.70%,5.20%,6.00%,4.30%,1.80%,2.10%,12.10%,4.30%,22.20%,10.60%,39.10%,81.40%,77.80%,73.60%,25.10%,22.50%,19.40%,8.20%
Maury County,Tennessee,Total,"108,159","6,310","7,271","6,790","5,234","6,279","6,380","8,956","7,393","8,225","6,169","6,734","6,687","7,182","5,884","5,368","3,022","2,653","1,622","14,061","3,869","24,240","7,644","42,467","86,957","83,919","79,820","25,731","23,373","18,549","7,297"
Maury County,Tennessee,Percent,(X),5.80%,6.70%,6.30%,4.80%,5.80%,5.90%,8.30%,6.80%,7.60%,5.70%,6.20%,6.20%,6.60%,5.40%,5.00%,2.80%,2.50%,1.50%,13.00%,3.60%,22.40%,7.10%,39.30%,80.40%,77.60%,73.80%,23.80%,21.60%,17.10%,6.70%
Maury County,Tennessee,Male,"53,831","3,213","4,395","3,677","2,707","3,450","3,072","3,942","2,956","5,094","2,980","3,315","3,352","3,185","2,703","2,529","1,414","1,096",751,"8,072","2,270","13,555","3,887","21,221","41,988","40,276","38,203","11,678","10,612","8,493","3,261"
Maury County,Tennessee,Percent Male,(X),6.00%,8.20%,6.80%,5.00%,6.40%,5.70%,7.30%,5.50%,9.50%,5.50%,6.20%,6.20%,5.90%,5.00%,4.70%,2.60%,2.00%,1.40%,15.00%,4.20%,25.20%,7.20%,39.40%,78.00%,74.80%,71.00%,21.70%,19.70%,15.80%,6.10%
Maury County,Tennessee,Female,"54,328","3,097","2,876","3,113","2,527","2,829","3,308","5,014","4,437","3,131","3,189","3,419","3,335","3,997","3,181","2,839","1,608","1,557",871,"5,989","1,599","10,685","3,757","21,246","44,969","43,643","41,617","14,053","12,761","10,056","4,036"
Maury County,Tennessee,Percent Female,(X),5.70%,5.30%,5.70%,4.70%,5.20%,6.10%,9.20%,8.20%,5.80%,5.90%,6.30%,6.10%,7.40%,5.90%,5.20%,3.00%,2.90%,1.60%,11.00%,2.90%,19.70%,6.90%,39.10%,82.80%,80.30%,76.60%,25.90%,23.50%,18.50%,7.40%
Montgomery County,Tennessee,Total,"235,201","18,565","17,141","17,924","13,907","20,024","22,193","20,839","21,677","12,546","13,223","11,479","11,683","10,821","9,721","5,467","3,486","2,033","2,472","35,065","8,548","62,178","25,383","111,186","178,627","173,023","164,734","34,000","29,425","23,179","7,991"
Montgomery County,Tennessee,Percent,(X),7.90%,7.30%,7.60%,5.90%,8.50%,9.40%,8.90%,9.20%,5.30%,5.60%,4.90%,5.00%,4.60%,4.10%,2.30%,1.50%,0.90%,1.10%,14.90%,3.60%,26.40%,10.80%,47.30%,75.90%,73.60%,70.00%,14.50%,12.50%,9.90%,3.40%
Montgomery County,Tennessee,Male,"118,415","9,889","9,142","8,372","7,382","10,522","11,956","10,830","11,453","5,837","6,072","5,692","6,389","4,578","4,234","2,664","1,601",804,998,"17,514","4,598","32,001","13,306","57,980","89,275","86,414","82,237","14,879","12,836","10,301","3,403"
Montgomery County,Tennessee,Percent Male,(X),8.40%,7.70%,7.10%,6.20%,8.90%,10.10%,9.10%,9.70%,4.90%,5.10%,4.80%,5.40%,3.90%,3.60%,2.20%,1.40%,0.70%,0.80%,14.80%,3.90%,27.00%,11.20%,49.00%,75.40%,73.00%,69.40%,12.60%,10.80%,8.70%,2.90%
Montgomery County,Tennessee,Female,"116,786","8,676","7,999","9,552","6,525","9,502","10,237","10,009","10,224","6,709","7,151","5,787","5,294","6,243","5,487","2,803","1,885","1,229","1,474","17,551","3,950","30,177","12,077","53,206","89,352","86,609","82,497","19,121","16,589","12,878","4,588"
Montgomery County,Tennessee,Percent Female,(X),7.40%,6.80%,8.20%,5.60%,8.10%,8.80%,8.60%,8.80%,5.70%,6.10%,5.00%,4.50%,5.30%,4.70%,2.40%,1.60%,1.10%,1.30%,15.00%,3.40%,25.80%,10.30%,45.60%,76.50%,74.20%,70.60%,16.40%,14.20%,11.00%,3.90%
Putnam County,Tennessee,Total,"82,382","4,538","4,483","5,094","7,088","7,446","5,960","5,507","4,689","4,538","4,248","4,816","4,302","5,351","5,105","3,561","2,569","1,462","1,625","9,577","2,943","17,058","11,591","35,228","67,429","65,324","59,782","19,673","17,944","14,322","5,656"
Putnam County,Tennessee,Percent,(X),5.50%,5.40%,6.20%,8.60%,9.00%,7.20%,6.70%,5.70%,5.50%,5.20%,5.80%,5.20%,6.50%,6.20%,4.30%,3.10%,1.80%,2.00%,11.60%,3.60%,20.70%,14.10%,42.80%,81.80%,79.30%,72.60%,23.90%,21.80%,17.40%,6.90%
Putnam County,Tennessee,Male,"40,616","2,129","2,143","2,693","4,103","3,670","3,172","3,086","2,076","2,421","2,139","2,247","2,257","2,412","2,037","1,803","1,041",685,502,"4,836","1,459","8,424","6,314","18,528","33,255","32,192","28,927","8,480","7,660","6,068","2,228"
Putnam County,Tennessee,Percent Male,(X),5.20%,5.30%,6.60%,10.10%,9.00%,7.80%,7.60%,5.10%,6.00%,5.30%,5.50%,5.60%,5.90%,5.00%,4.40%,2.60%,1.70%,1.20%,11.90%,3.60%,20.70%,15.50%,45.60%,81.90%,79.30%,71.20%,20.90%,18.90%,14.90%,5.50%
Putnam County,Tennessee,Female,"41,766","2,409","2,340","2,401","2,985","3,776","2,788","2,421","2,613","2,117","2,109","2,569","2,045","2,939","3,068","1,758","1,528",777,"1,123","4,741","1,484","8,634","5,277","16,700","34,174","33,132","30,855","11,193","10,284","8,254","3,428"
Putnam County,Tennessee,Percent Female,(X),5.80%,5.60%,5.70%,7.10%,9.00%,6.70%,5.80%,6.30%,5.10%,5.00%,6.20%,4.90%,7.00%,7.30%,4.20%,3.70%,1.90%,2.70%,11.40%,3.60%,20.70%,12.60%,40.00%,81.80%,79.30%,73.90%,26.80%,24.60%,19.80%,8.20%
Robertson County,Tennessee,Total,"75,470","4,478","5,301","4,881","4,705","3,875","4,252","5,528","6,257","4,733","4,696","4,652","5,263","5,213","3,943","3,474","2,780",488,951,"10,182","3,120","17,780","5,460","29,350","60,142","57,690","55,129","16,849","14,384","11,636","4,219"
Robertson County,Tennessee,Percent,(X),5.90%,7.00%,6.50%,6.20%,5.10%,5.60%,7.30%,8.30%,6.30%,6.20%,6.20%,7.00%,6.90%,5.20%,4.60%,3.70%,0.60%,1.30%,13.50%,4.10%,23.60%,7.20%,38.90%,79.70%,76.40%,73.00%,22.30%,19.10%,15.40%,5.60%
Robertson County,Tennessee,Male,"37,439","2,373","2,487","2,806","2,161","2,363","2,252","2,492","3,218","2,394","2,391","2,145","2,335","2,713","2,012","1,587","1,326",341,43,"5,293","1,522","9,188","3,002","14,880",N,"28,251","26,671","8,022","6,615","5,309","1,710"
Robertson County,Tennessee,Percent Male,(X),6.30%,6.60%,7.50%,5.80%,6.30%,6.00%,6.70%,8.60%,6.40%,6.40%,5.70%,6.20%,7.20%,5.40%,4.20%,3.50%,0.90%,0.10%,14.10%,4.10%,24.50%,8.00%,39.70%,N,75.50%,71.20%,21.40%,17.70%,14.20%,4.60%
Robertson County,Tennessee,Female,"38,031","2,105","2,814","2,075","2,544","1,512","2,000","3,036","3,039","2,339","2,305","2,507","2,928","2,500","1,931","1,887","1,454",147,908,"4,889","1,598","8,592","2,458","14,470",N,"29,439","28,458","8,827","7,769","6,327","2,509"
Robertson County,Tennessee,Percent Female,(X),5.50%,7.40%,5.50%,6.70%,4.00%,5.30%,8.00%,8.00%,6.20%,6.10%,6.60%,7.70%,6.60%,5.10%,5.00%,3.80%,0.40%,2.40%,12.90%,4.20%,22.60%,6.50%,38.00%,N,77.40%,74.80%,23.20%,20.40%,16.60%,6.60%
Rutherford County,Tennessee,Total,"360,619","22,049","20,960","28,204","26,337","32,773","26,458","27,060","25,555","26,282","22,415","22,373","19,732","19,428","16,403","9,926","6,272","4,315","4,077","49,164","15,948","87,161","43,162","164,465","285,991","273,458","256,981","60,421","53,012","40,993","14,664"
Rutherford County,Tennessee,Percent,(X),6.10%,5.80%,7.80%,7.30%,9.10%,7.30%,7.50%,7.10%,7.30%,6.20%,6.20%,5.50%,5.40%,4.50%,2.80%,1.70%,1.20%,1.10%,13.60%,4.40%,24.20%,12.00%,45.60%,79.30%,75.80%,71.30%,16.80%,14.70%,11.40%,4.10%
Rutherford County,Tennessee,Male,"179,112","11,634","10,773","14,518","12,856","16,723","13,114","13,450","13,381","12,706","10,946","11,015","10,191","9,609","7,838","4,045","3,143","1,803","1,367","25,291","7,887","44,812","21,692","82,230","140,888","134,300","125,143","27,805","24,296","18,196","6,313"
Rutherford County,Tennessee,Percent Male,(X),6.50%,6.00%,8.10%,7.20%,9.30%,7.30%,7.50%,7.50%,7.10%,6.10%,6.10%,5.70%,5.40%,4.40%,2.30%,1.80%,1.00%,0.80%,14.10%,4.40%,25.00%,12.10%,45.90%,78.70%,75.00%,69.90%,15.50%,13.60%,10.20%,3.50%
Rutherford County,Tennessee,Female,"181,507","10,415","10,187","13,686","13,481","16,050","13,344","13,610","12,174","13,576","11,469","11,358","9,541","9,819","8,565","5,881","3,129","2,512","2,710","23,873","8,061","42,349","21,470","82,235","145,103","139,158","131,838","32,616","28,716","22,797","8,351"
Rutherford County,Tennessee,Percent Female,(X),5.70%,5.60%,7.50%,7.40%,8.80%,7.40%,7.50%,6.70%,7.50%,6.30%,6.30%,5.30%,5.40%,4.70%,3.20%,1.70%,1.40%,1.50%,13.20%,4.40%,23.30%,11.80%,45.30%,79.90%,76.70%,72.60%,18.00%,15.80%,12.60%,4.60%
Sevier County,Tennessee,Total,"98,789","5,130","5,764","5,188","5,478","5,796","5,551","6,153","6,144","5,416","5,942","7,051","7,910","7,138","6,675","5,556","3,754","2,613","1,530","10,952","3,783","19,865","7,491","34,538","81,198","78,924","76,030","27,266","23,800","20,128","7,897"
Sevier County,Tennessee,Percent,(X),5.20%,5.80%,5.30%,5.50%,5.90%,5.60%,6.20%,6.20%,5.50%,6.00%,7.10%,8.00%,7.20%,6.80%,5.60%,3.80%,2.60%,1.50%,11.10%,3.80%,20.10%,7.60%,35.00%,82.20%,79.90%,77.00%,27.60%,24.10%,20.40%,8.00%
Sevier County,Tennessee,Male,"48,742","2,882","3,333","2,491","2,889","2,885","2,843","2,961","3,164","2,470","2,984","3,448","3,409","3,706","2,986","2,710","1,765","1,141",675,"5,824","1,809","10,515","3,965","17,212",N,"38,227","36,631","12,983","10,937","9,277","3,581"
Sevier County,Tennessee,Percent Male,(X),5.90%,6.80%,5.10%,5.90%,5.90%,5.80%,6.10%,6.50%,5.10%,6.10%,7.10%,7.00%,7.60%,6.10%,5.60%,3.60%,2.30%,1.40%,11.90%,3.70%,21.60%,8.10%,35.30%,N,78.40%,75.20%,26.60%,22.40%,19.00%,7.30%
Sevier County,Tennessee,Female,"50,047","2,248","2,431","2,697","2,589","2,911","2,708","3,192","2,980","2,946","2,958","3,603","4,501","3,432","3,689","2,846","1,989","1,472",855,"5,128","1,974","9,350","3,526","17,326",N,"40,697","39,399","14,283","12,863","10,851","4,316"
Sevier County,Tennessee,Percent Female,(X),4.50%,4.90%,5.40%,5.20%,5.80%,5.40%,6.40%,6.00%,5.90%,5.90%,7.20%,9.00%,6.90%,7.40%,5.70%,4.00%,2.90%,1.70%,10.20%,3.90%,18.70%,7.00%,34.60%,N,81.30%,78.70%,28.50%,25.70%,21.70%,8.60%
Shelby County,Tennessee,Total,"916,371","61,571","64,779","63,782","58,686","61,200","67,032","68,384","56,819","60,360","52,049","55,475","53,885","54,377","47,189","38,439","23,477","14,603","14,264","128,561","38,305","228,437","81,581","372,481","714,724","687,934","655,008","192,349","170,178","137,972","52,344"
Shelby County,Tennessee,Percent,(X),6.70%,7.10%,7.00%,6.40%,6.70%,7.30%,7.50%,6.20%,6.60%,5.70%,6.10%,5.90%,5.90%,5.10%,4.20%,2.60%,1.60%,1.60%,14.00%,4.20%,24.90%,8.90%,40.60%,78.00%,75.10%,71.50%,21.00%,18.60%,15.10%,5.70%
Shelby County,Tennessee,Male,"435,472","31,157","33,447","32,003","29,870","29,848","32,211","32,756","25,748","29,779","24,494","26,374","24,852","25,218","20,718","17,101","9,993","4,947","4,956","65,450","19,532","116,139","40,186","180,212","332,337","319,333","303,159","82,933","72,751","57,715","19,896"
Shelby County,Tennessee,Percent Male,(X),7.20%,7.70%,7.30%,6.90%,6.90%,7.40%,7.50%,5.90%,6.80%,5.60%,6.10%,5.70%,5.80%,4.80%,3.90%,2.30%,1.10%,1.10%,15.00%,4.50%,26.70%,9.20%,41.40%,76.30%,73.30%,69.60%,19.00%,16.70%,13.30%,4.60%
Shelby County,Tennessee,Female,"480,899","30,414","31,332","31,779","28,816","31,352","34,821","35,628","31,071","30,581","27,555","29,101","29,033","29,159","26,471","21,338","13,484","9,656","9,308","63,111","18,773","112,298","41,395","192,269","382,387","368,601","351,849","109,416","97,427","80,257","32,448"
Shelby County,Tennessee,Percent Female,(X),6.30%,6.50%,6.60%,6.00%,6.50%,7.20%,7.40%,6.50%,6.40%,5.70%,6.10%,6.00%,6.10%,5.50%,4.40%,2.80%,2.00%,1.90%,13.10%,3.90%,23.40%,8.60%,40.00%,79.50%,76.60%,73.20%,22.80%,20.30%,16.70%,6.70%
Sullivan County,Tennessee,Total,"160,820","7,327","8,966","8,095","9,222","9,376","9,747","9,775","9,132","9,320","9,900","11,443","10,972","11,922","9,547","10,403","7,326","5,488","2,859","17,061","6,146","30,534","12,452","56,572","134,058","130,286","125,325","47,545","41,869","35,623","15,673"
Sullivan County,Tennessee,Percent,(X),4.60%,5.60%,5.00%,5.70%,5.80%,6.10%,6.10%,5.70%,5.80%,6.20%,7.10%,6.80%,7.40%,5.90%,6.50%,4.60%,3.40%,1.80%,10.60%,3.80%,19.00%,7.70%,35.20%,83.40%,81.00%,77.90%,29.60%,26.00%,22.20%,9.70%
Sullivan County,Tennessee,Male,"79,108","3,652","4,705","4,295","4,849","4,566","5,114","5,068","4,146","4,958","4,864","5,867","5,910","5,258","4,046","5,173","3,032","2,578","1,027","9,000","3,185","15,837","6,230","28,701","65,409","63,271","60,586","21,114","18,434","15,856","6,637"
Sullivan County,Tennessee,Percent Male,(X),4.60%,5.90%,5.40%,6.10%,5.80%,6.50%,6.40%,5.20%,6.30%,6.10%,7.40%,7.50%,6.60%,5.10%,6.50%,3.80%,3.30%,1.30%,11.40%,4.00%,20.00%,7.90%,36.30%,82.70%,80.00%,76.60%,26.70%,23.30%,20.00%,8.40%
Sullivan County,Tennessee,Female,"81,712","3,675","4,261","3,800","4,373","4,810","4,633","4,707","4,986","4,362","5,036","5,576","5,062","6,664","5,501","5,230","4,294","2,910","1,832","8,061","2,961","14,697","6,222","27,871","68,649","67,015","64,739","26,431","23,435","19,767","9,036"
Sullivan County,Tennessee,Percent Female,(X),4.50%,5.20%,4.70%,5.40%,5.90%,5.70%,5.80%,6.10%,5.30%,6.20%,6.80%,6.20%,8.20%,6.70%,6.40%,5.30%,3.60%,2.20%,9.90%,3.60%,18.00%,7.60%,34.10%,84.00%,82.00%,79.20%,32.30%,28.70%,24.20%,11.10%
Sumner County,Tennessee,Total,"203,858","11,409","12,413","13,848","12,844","11,913","11,784","14,376","11,974","14,352","12,918","14,392","14,146","12,948","11,558","9,102","7,465","3,232","3,184","26,261","8,640","46,310","16,117","77,243","162,832","157,548","151,455","47,489","43,210","34,541","13,881"
Sumner County,Tennessee,Percent,(X),5.60%,6.10%,6.80%,6.30%,5.80%,5.80%,7.10%,5.90%,7.00%,6.30%,7.10%,6.90%,6.40%,5.70%,4.50%,3.70%,1.60%,1.60%,12.90%,4.20%,22.70%,7.90%,37.90%,79.90%,77.30%,74.30%,23.30%,21.20%,16.90%,6.80%
Sumner County,Tennessee,Male,"99,320","5,719","5,972","7,509","6,263","6,091","6,345","6,920","4,517","7,569","6,352","7,762","7,859","5,085","5,173","4,481","3,098","1,478","1,127","13,481","4,316","23,516","8,038","37,705","78,432","75,804","72,277","20,442","18,583","15,357","5,703"
Sumner County,Tennessee,Percent Male,(X),5.80%,6.00%,7.60%,6.30%,6.10%,6.40%,7.00%,4.50%,7.60%,6.40%,7.80%,7.90%,5.10%,5.20%,4.50%,3.10%,1.50%,1.10%,13.60%,4.30%,23.70%,8.10%,38.00%,79.00%,76.30%,72.80%,20.60%,18.70%,15.50%,5.70%
Sumner County,Tennessee,Female,"104,538","5,690","6,441","6,339","6,581","5,822","5,439","7,456","7,457","6,783","6,566","6,630","6,287","7,863","6,385","4,621","4,367","1,754","2,057","12,780","4,324","22,794","8,079","39,538","84,400","81,744","79,178","27,047","24,627","19,184","8,178"
Sumner County,Tennessee,Percent Female,(X),5.40%,6.20%,6.10%,6.30%,5.60%,5.20%,7.10%,7.10%,6.50%,6.30%,6.30%,6.00%,7.50%,6.10%,4.40%,4.20%,1.70%,2.00%,12.20%,4.10%,21.80%,7.70%,37.80%,80.70%,78.20%,75.70%,25.90%,23.60%,18.40%,7.80%
Washington County,Tennessee,Total,"136,172","5,847","7,791","6,558","11,348","10,122","9,353","8,823","6,699","8,424","8,038","9,099","8,165","9,749","7,997","7,444","4,455","3,623","2,637","14,349","4,636","24,832","16,834","54,769","114,512","111,340","103,422","35,905","31,158","26,156","10,715"
Washington County,Tennessee,Percent,(X),4.30%,5.70%,4.80%,8.30%,7.40%,6.90%,6.50%,4.90%,6.20%,5.90%,6.70%,6.00%,7.20%,5.90%,5.50%,3.30%,2.70%,1.90%,10.50%,3.40%,18.20%,12.40%,40.20%,84.10%,81.80%,75.90%,26.40%,22.90%,19.20%,7.90%
Washington County,Tennessee,Male,"67,214","2,939","3,834","3,813","4,454","5,806","4,560","4,928","3,243","4,414","4,045","4,290","3,556","5,624","3,521","3,653","2,264","1,477",793,"7,647","2,362","12,948","7,898","27,405","55,799","54,266","51,499","17,332","14,636","11,708","4,534"
Washington County,Tennessee,Percent Male,(X),4.40%,5.70%,5.70%,6.60%,8.60%,6.80%,7.30%,4.80%,6.60%,6.00%,6.40%,5.30%,8.40%,5.20%,5.40%,3.40%,2.20%,1.20%,11.40%,3.50%,19.30%,11.80%,40.80%,83.00%,80.70%,76.60%,25.80%,21.80%,17.40%,6.70%
Washington County,Tennessee,Female,"68,958","2,908","3,957","2,745","6,894","4,316","4,793","3,895","3,456","4,010","3,993","4,809","4,609","4,125","4,476","3,791","2,191","2,146","1,844","6,702","2,274","11,884","8,936","27,364","58,713","57,074","51,923","18,573","16,522","14,448","6,181"
Washington County,Tennessee,Percent Female,(X),4.20%,5.70%,4.00%,10.00%,6.30%,7.00%,5.60%,5.00%,5.80%,5.80%,7.00%,6.70%,6.00%,6.50%,5.50%,3.20%,3.10%,2.70%,9.70%,3.30%,17.20%,13.00%,39.70%,85.10%,82.80%,75.30%,26.90%,24.00%,21.00%,9.00%
Williamson County,Tennessee,Total,"260,815","12,680","19,404","21,048","20,705","14,211","10,394","12,227","17,298","20,996","19,695","19,875","19,458","14,619","13,357","9,849","6,873","4,436","3,690","40,452","13,337","66,469","21,579","95,831","202,714","194,346","183,022","52,824","47,540","38,205","14,999"
Williamson County,Tennessee,Percent,(X),4.90%,7.40%,8.10%,7.90%,5.40%,4.00%,4.70%,6.60%,8.10%,7.60%,7.60%,7.50%,5.60%,5.10%,3.80%,2.60%,1.70%,1.40%,15.50%,5.10%,25.50%,8.30%,36.70%,77.70%,74.50%,70.20%,20.30%,18.20%,14.60%,5.80%
Williamson County,Tennessee,Male,"129,043","6,570","10,781","9,970","10,998","7,079","5,312","5,524","8,244","9,566","10,255","10,342","9,138","7,677","6,553","4,565","2,985","1,779","1,705","20,751","6,548","33,869","11,529","46,723","99,361","95,174","88,465","25,264","22,870","17,587","6,469"
Williamson County,Tennessee,Percent Male,(X),5.10%,8.40%,7.70%,8.50%,5.50%,4.10%,4.30%,6.40%,7.40%,7.90%,8.00%,7.10%,5.90%,5.10%,3.50%,2.30%,1.40%,1.30%,16.10%,5.10%,26.20%,8.90%,36.20%,77.00%,73.80%,68.60%,19.60%,17.70%,13.60%,5.00%
Williamson County,Tennessee,Female,"131,772","6,110","8,623","11,078","9,707","7,132","5,082","6,703","9,054","11,430","9,440","9,533","10,320","6,942","6,804","5,284","3,888","2,657","1,985","19,701","6,789","32,600","10,050","49,108","103,353","99,172","94,557","27,560","24,670","20,618","8,530"
Williamson County,Tennessee,Percent Female,(X),4.60%,6.50%,8.40%,7.40%,5.40%,3.90%,5.10%,6.90%,8.70%,7.20%,7.20%,7.80%,5.30%,5.20%,4.00%,3.00%,2.00%,1.50%,15.00%,5.20%,24.70%,7.60%,37.30%,78.40%,75.30%,71.80%,20.90%,18.70%,15.60%,6.50%
