LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER,Years as Customers,STORE_NBR
45213,OLDER FAMILIES,Premium,15,45
45214,YOUNG FAMILIES,Premium,2,45
45215,YOUNG SINGLES/COUPLES,Premium,6,45
45216,YOUNG FAMILIES,Budget,4,45
45217,RETIREES,Premium,7,45
45218,OLDER SINGLES/COUPLES,Premium,8,45
45219,OLDER SINGLES/COUPLES,Mainstream,7,45
45220,MIDAGE SINGLES/COUPLES,Budget,14,45
45221,OLDER FAMILIES,Budget,11,45
45222,YOUNG SINGLES/COUPLES,Mainstream,3,45
45223,OLDER SINGLES/COUPLES,Budget,2,45
45224,OLDER FAMILIES,Premium,14,45
45226,OLDER FAMILIES,Premium,15,45
45227,OLDER FAMILIES,Premium,8,45
45228,YOUNG FAMILIES,Budget,3,45
45229,YOUNG SINGLES/COUPLES,Mainstream,10,45
45230,RETIREES,Budget,14,45
45231,RETIREES,Budget,6,45
45232,MIDAGE SINGLES/COUPLES,Premium,2,45
45233,MIDAGE SINGLES/COUPLES,Premium,2,45
45234,YOUNG SINGLES/COUPLES,Mainstream,5,45
45235,MIDAGE SINGLES/COUPLES,Premium,6,45
45236,OLDER SINGLES/COUPLES,Budget,14,45
45237,YOUNG SINGLES/COUPLES,Budget,3,45
45238,RETIREES,Budget,15,45
45239,OLDER FAMILIES,Budget,9,45
45240,OLDER SINGLES/COUPLES,Budget,13,45
45241,YOUNG FAMILIES,Premium,6,45
45242,YOUNG FAMILIES,Budget,3,45
45243,YOUNG SINGLES/COUPLES,Budget,4,45
45244,RETIREES,Mainstream,12,45
45245,OLDER SINGLES/COUPLES,Budget,8,45
45246,YOUNG SINGLES/COUPLES,Premium,10,45
45247,OLDER SINGLES/COUPLES,Mainstream,12,45
45248,YOUNG FAMILIES,Mainstream,8,45
45249,RETIREES,Mainstream,7,45
45250,OLDER SINGLES/COUPLES,Budget,13,45
45251,RETIREES,Budget,15,45
45252,RETIREES,Premium,10,45
45253,YOUNG SINGLES/COUPLES,Mainstream,9,45
46000,YOUNG FAMILIES,Mainstream,7,46
46001,YOUNG FAMILIES,Budget,8,46
46002,RETIREES,Mainstream,14,46
46003,RETIREES,Budget,2,46
46005,OLDER FAMILIES,Premium,14,46
46006,YOUNG FAMILIES,Premium,3,46
46007,OLDER SINGLES/COUPLES,Mainstream,14,46
46008,NEW FAMILIES,Mainstream,7,46
46009,YOUNG SINGLES/COUPLES,Mainstream,1,46
46010,OLDER SINGLES/COUPLES,Premium,5,46
46011,RETIREES,Premium,5,46
46012,RETIREES,Premium,10,46
46014,OLDER SINGLES/COUPLES,Budget,9,46
46017,YOUNG FAMILIES,Premium,10,46
46018,OLDER SINGLES/COUPLES,Budget,3,46
46019,MIDAGE SINGLES/COUPLES,Mainstream,3,46
46020,MIDAGE SINGLES/COUPLES,Premium,15,46
46021,MIDAGE SINGLES/COUPLES,Premium,1,46
46022,OLDER FAMILIES,Budget,1,46
46026,RETIREES,Mainstream,12,46
46027,OLDER FAMILIES,Mainstream,12,46
46031,OLDER FAMILIES,Mainstream,10,46
46032,YOUNG FAMILIES,Mainstream,7,46
46033,OLDER SINGLES/COUPLES,Mainstream,15,46
46034,OLDER SINGLES/COUPLES,Budget,2,46
46036,OLDER SINGLES/COUPLES,Budget,15,46
46039,YOUNG FAMILIES,Mainstream,1,46
46040,RETIREES,Premium,8,46
46041,OLDER SINGLES/COUPLES,Mainstream,8,46
46042,MIDAGE SINGLES/COUPLES,Mainstream,8,46
46043,RETIREES,Mainstream,1,46
46046,YOUNG SINGLES/COUPLES,Premium,2,46
46047,OLDER SINGLES/COUPLES,Budget,15,46
46048,OLDER SINGLES/COUPLES,Budget,13,46
46050,YOUNG FAMILIES,Budget,8,46
46051,OLDER FAMILIES,Mainstream,1,46
46055,YOUNG FAMILIES,Budget,9,46
46056,OLDER SINGLES/COUPLES,Mainstream,12,46
46057,YOUNG SINGLES/COUPLES,Premium,7,46
46059,YOUNG FAMILIES,Mainstream,10,46
46060,MIDAGE SINGLES/COUPLES,Premium,14,46
46061,OLDER FAMILIES,Premium,3,46
46062,YOUNG SINGLES/COUPLES,Premium,1,46
46063,YOUNG SINGLES/COUPLES,Mainstream,6,46
46064,RETIREES,Premium,4,46
46065,MIDAGE SINGLES/COUPLES,Budget,11,46
46066,YOUNG SINGLES/COUPLES,Mainstream,8,46
46067,OLDER FAMILIES,Premium,15,46
46068,OLDER SINGLES/COUPLES,Mainstream,6,46
46072,YOUNG SINGLES/COUPLES,Mainstream,8,46
46073,RETIREES,Mainstream,9,46
46074,YOUNG FAMILIES,Budget,3,46
46075,YOUNG SINGLES/COUPLES,Mainstream,5,46
46077,NEW FAMILIES,Budget,10,46
46078,OLDER SINGLES/COUPLES,Budget,10,46
46080,YOUNG SINGLES/COUPLES,Budget,3,46
46082,RETIREES,Budget,13,46
46084,RETIREES,Premium,8,46
46085,YOUNG SINGLES/COUPLES,Budget,5,46
46086,RETIREES,Mainstream,12,46
46088,RETIREES,Mainstream,4,46
46092,YOUNG SINGLES/COUPLES,Budget,3,46
46094,OLDER SINGLES/COUPLES,Mainstream,2,46
46096,YOUNG SINGLES/COUPLES,Budget,4,46
46097,RETIREES,Mainstream,10,46
46098,OLDER SINGLES/COUPLES,Mainstream,11,46
46100,YOUNG SINGLES/COUPLES,Mainstream,6,46
46106,YOUNG SINGLES/COUPLES,Mainstream,2,46
46107,YOUNG SINGLES/COUPLES,Mainstream,4,46
46108,YOUNG SINGLES/COUPLES,Mainstream,9,46
46109,YOUNG SINGLES/COUPLES,Mainstream,7,46
46110,YOUNG SINGLES/COUPLES,Budget,7,46
46111,YOUNG SINGLES/COUPLES,Premium,1,46
46113,RETIREES,Premium,14,46
46115,OLDER SINGLES/COUPLES,Mainstream,4,46
46116,RETIREES,Mainstream,1,46
46117,RETIREES,Budget,1,46
46118,OLDER SINGLES/COUPLES,Mainstream,9,46
46119,YOUNG FAMILIES,Budget,4,46
46121,NEW FAMILIES,Budget,1,46
46122,MIDAGE SINGLES/COUPLES,Premium,7,46
46125,OLDER SINGLES/COUPLES,Budget,10,46
46126,YOUNG SINGLES/COUPLES,Mainstream,10,46
46131,YOUNG SINGLES/COUPLES,Budget,9,46
46132,RETIREES,Mainstream,8,46
46133,YOUNG FAMILIES,Budget,8,46
46135,YOUNG SINGLES/COUPLES,Mainstream,1,46
46137,OLDER FAMILIES,Premium,7,46
46138,OLDER SINGLES/COUPLES,Budget,14,46
46142,NEW FAMILIES,Premium,3,46
46147,OLDER SINGLES/COUPLES,Mainstream,10,46
46149,RETIREES,Budget,13,46
46150,OLDER SINGLES/COUPLES,Mainstream,11,46
46151,YOUNG FAMILIES,Premium,5,46
46152,YOUNG FAMILIES,Budget,7,46
46153,YOUNG SINGLES/COUPLES,Budget,1,46
46155,RETIREES,Premium,2,46
46156,OLDER FAMILIES,Budget,3,46
46157,YOUNG SINGLES/COUPLES,Mainstream,3,46
46159,RETIREES,Mainstream,10,46
46160,OLDER SINGLES/COUPLES,Mainstream,4,46
46161,OLDER FAMILIES,Premium,4,46
46163,OLDER FAMILIES,Mainstream,5,46
46165,OLDER FAMILIES,Budget,2,46
46167,YOUNG SINGLES/COUPLES,Budget,8,46
46169,RETIREES,Mainstream,12,46
46170,YOUNG SINGLES/COUPLES,Mainstream,8,46
46171,OLDER SINGLES/COUPLES,Budget,8,46
46173,YOUNG SINGLES/COUPLES,Mainstream,1,46
46174,OLDER SINGLES/COUPLES,Mainstream,9,46
46175,YOUNG SINGLES/COUPLES,Premium,7,46
46176,RETIREES,Premium,15,46
46177,YOUNG SINGLES/COUPLES,Mainstream,7,46
46178,YOUNG SINGLES/COUPLES,Budget,10,46
46179,MIDAGE SINGLES/COUPLES,Budget,3,46
46180,OLDER SINGLES/COUPLES,Mainstream,10,46
46181,OLDER SINGLES/COUPLES,Budget,1,46
46182,OLDER FAMILIES,Budget,10,46
46184,YOUNG SINGLES/COUPLES,Mainstream,9,46
46186,MIDAGE SINGLES/COUPLES,Mainstream,13,46
46187,MIDAGE SINGLES/COUPLES,Premium,3,46
46188,OLDER SINGLES/COUPLES,Premium,11,46
46191,RETIREES,Mainstream,8,46
46193,YOUNG SINGLES/COUPLES,Budget,9,46
46194,YOUNG FAMILIES,Premium,7,46
46195,YOUNG FAMILIES,Budget,10,46
46197,MIDAGE SINGLES/COUPLES,Premium,10,46
46199,OLDER FAMILIES,Budget,13,46
46200,RETIREES,Premium,8,46
46201,RETIREES,Mainstream,4,46
46202,RETIREES,Premium,12,46
46203,YOUNG SINGLES/COUPLES,Mainstream,9,46
46204,YOUNG SINGLES/COUPLES,Mainstream,4,46
46205,RETIREES,Mainstream,9,46
46206,YOUNG SINGLES/COUPLES,Budget,3,46
46207,OLDER SINGLES/COUPLES,Mainstream,12,46
46209,YOUNG SINGLES/COUPLES,Mainstream,2,46
46210,YOUNG SINGLES/COUPLES,Budget,6,46
46212,MIDAGE SINGLES/COUPLES,Budget,12,46
46213,YOUNG SINGLES/COUPLES,Budget,9,46
46215,RETIREES,Mainstream,15,46
46216,OLDER SINGLES/COUPLES,Budget,10,46
46218,OLDER SINGLES/COUPLES,Mainstream,11,46
46219,OLDER FAMILIES,Budget,4,46
46222,OLDER SINGLES/COUPLES,Mainstream,7,46
46223,RETIREES,Premium,8,46
46224,OLDER SINGLES/COUPLES,Premium,11,46
46226,OLDER FAMILIES,Mainstream,4,46
46227,OLDER SINGLES/COUPLES,Budget,3,46
46228,YOUNG SINGLES/COUPLES,Mainstream,7,46
46229,RETIREES,Premium,8,46
46235,OLDER FAMILIES,Premium,6,46
46236,YOUNG SINGLES/COUPLES,Budget,10,46
46238,YOUNG SINGLES/COUPLES,Budget,10,46
46242,YOUNG SINGLES/COUPLES,Mainstream,6,46
46243,YOUNG SINGLES/COUPLES,Mainstream,10,46
46245,OLDER SINGLES/COUPLES,Mainstream,15,46
46247,OLDER FAMILIES,Budget,4,46
46248,OLDER SINGLES/COUPLES,Mainstream,8,46
46249,OLDER FAMILIES,Premium,12,46
46252,YOUNG SINGLES/COUPLES,Budget,3,46
46257,YOUNG SINGLES/COUPLES,Budget,1,46
46259,YOUNG SINGLES/COUPLES,Premium,5,46
46260,OLDER FAMILIES,Budget,9,46
46264,RETIREES,Premium,4,46
46265,RETIREES,Mainstream,14,46
46268,RETIREES,Mainstream,7,46
46269,OLDER FAMILIES,Premium,11,46
46270,YOUNG SINGLES/COUPLES,Mainstream,10,46
46271,NEW FAMILIES,Budget,14,46
46272,RETIREES,Budget,12,46
46273,YOUNG SINGLES/COUPLES,Mainstream,5,46
46274,MIDAGE SINGLES/COUPLES,Mainstream,13,46
46275,NEW FAMILIES,Budget,8,46
46277,OLDER SINGLES/COUPLES,Budget,9,46
46278,RETIREES,Premium,3,46
46279,YOUNG SINGLES/COUPLES,Mainstream,9,46
46280,RETIREES,Budget,15,46
46283,RETIREES,Budget,4,46
46284,RETIREES,Budget,14,46
46285,YOUNG SINGLES/COUPLES,Budget,6,46
46287,RETIREES,Premium,14,46
46288,RETIREES,Mainstream,7,46
46289,YOUNG SINGLES/COUPLES,Budget,8,46
46290,MIDAGE SINGLES/COUPLES,Mainstream,7,46
46292,OLDER SINGLES/COUPLES,Mainstream,13,46
46293,NEW FAMILIES,Mainstream,3,46
46294,OLDER FAMILIES,Budget,14,46
46295,OLDER SINGLES/COUPLES,Premium,6,46
46296,RETIREES,Budget,12,46
46299,RETIREES,Premium,14,46
46302,OLDER FAMILIES,Budget,13,46
46303,YOUNG SINGLES/COUPLES,Premium,10,46
46305,RETIREES,Premium,12,46
46306,YOUNG SINGLES/COUPLES,Mainstream,10,46
46308,MIDAGE SINGLES/COUPLES,Mainstream,4,46
46310,YOUNG SINGLES/COUPLES,Premium,4,46
46313,MIDAGE SINGLES/COUPLES,Premium,11,46
46314,RETIREES,Budget,15,46
46315,YOUNG FAMILIES,Premium,4,46
46316,OLDER FAMILIES,Premium,12,46
46317,YOUNG SINGLES/COUPLES,Budget,5,46
46320,YOUNG FAMILIES,Premium,5,46
46321,YOUNG SINGLES/COUPLES,Premium,6,46
46322,NEW FAMILIES,Budget,1,46
46323,YOUNG SINGLES/COUPLES,Budget,4,46
46325,OLDER SINGLES/COUPLES,Mainstream,13,46
46326,RETIREES,Premium,1,46
46328,YOUNG SINGLES/COUPLES,Budget,9,46
46330,RETIREES,Budget,13,46
46332,RETIREES,Budget,1,46
46334,YOUNG SINGLES/COUPLES,Mainstream,10,46
46336,MIDAGE SINGLES/COUPLES,Mainstream,5,46
46337,OLDER FAMILIES,Premium,5,46
46338,RETIREES,Mainstream,3,46
46339,YOUNG SINGLES/COUPLES,Budget,1,46
46341,OLDER SINGLES/COUPLES,Mainstream,5,46
46343,YOUNG FAMILIES,Budget,6,46
46344,RETIREES,Premium,5,46
46348,RETIREES,Mainstream,1,46
46349,RETIREES,Mainstream,7,46
46350,YOUNG SINGLES/COUPLES,Premium,7,46
46352,RETIREES,Mainstream,13,46
46353,OLDER SINGLES/COUPLES,Budget,6,46
46354,RETIREES,Premium,6,46
46357,NEW FAMILIES,Mainstream,1,46
46359,OLDER SINGLES/COUPLES,Mainstream,8,46
46362,YOUNG SINGLES/COUPLES,Premium,6,46
46363,YOUNG FAMILIES,Budget,10,46
46364,YOUNG FAMILIES,Budget,4,46
46365,RETIREES,Premium,4,46
46366,RETIREES,Mainstream,14,46
46367,YOUNG SINGLES/COUPLES,Budget,6,46
46368,YOUNG SINGLES/COUPLES,Mainstream,7,46
46369,MIDAGE SINGLES/COUPLES,Mainstream,15,46
46371,RETIREES,Mainstream,5,46
46372,OLDER SINGLES/COUPLES,Budget,15,46
46374,OLDER SINGLES/COUPLES,Budget,3,46
46375,YOUNG FAMILIES,Mainstream,1,46
46377,OLDER FAMILIES,Budget,8,46
46378,YOUNG SINGLES/COUPLES,Budget,2,46
46380,OLDER SINGLES/COUPLES,Budget,11,46
46381,RETIREES,Premium,12,46
46385,YOUNG SINGLES/COUPLES,Mainstream,9,46
46386,OLDER SINGLES/COUPLES,Mainstream,11,46
46389,YOUNG FAMILIES,Budget,10,46
46390,YOUNG FAMILIES,Mainstream,2,46
46393,MIDAGE SINGLES/COUPLES,Mainstream,1,46
46394,OLDER SINGLES/COUPLES,Mainstream,7,46
46395,OLDER SINGLES/COUPLES,Premium,14,46
46396,OLDER FAMILIES,Budget,9,46
46400,YOUNG SINGLES/COUPLES,Budget,7,46
46401,YOUNG SINGLES/COUPLES,Budget,3,46
46402,RETIREES,Budget,14,46
46403,YOUNG SINGLES/COUPLES,Mainstream,2,46
46404,YOUNG SINGLES/COUPLES,Mainstream,7,46
46405,NEW FAMILIES,Mainstream,8,46
46406,OLDER SINGLES/COUPLES,Mainstream,12,46
46407,RETIREES,Mainstream,5,46
46408,RETIREES,Budget,14,46
46410,OLDER FAMILIES,Budget,4,46
46412,MIDAGE SINGLES/COUPLES,Mainstream,9,46
46413,YOUNG FAMILIES,Premium,9,46
46414,YOUNG FAMILIES,Mainstream,4,46
46415,RETIREES,Mainstream,11,46
46416,YOUNG SINGLES/COUPLES,Budget,8,46
46418,YOUNG FAMILIES,Budget,7,46
46419,OLDER FAMILIES,Budget,3,46
46420,RETIREES,Mainstream,5,46
46421,MIDAGE SINGLES/COUPLES,Premium,14,46
46422,RETIREES,Budget,8,46
46425,YOUNG FAMILIES,Budget,4,46
46427,RETIREES,Mainstream,2,46
46428,OLDER SINGLES/COUPLES,Premium,7,46
46430,OLDER SINGLES/COUPLES,Premium,4,46
46432,YOUNG SINGLES/COUPLES,Premium,2,46
46434,YOUNG FAMILIES,Budget,6,46
46436,YOUNG SINGLES/COUPLES,Premium,5,46
46437,YOUNG SINGLES/COUPLES,Mainstream,5,46
46439,OLDER FAMILIES,Premium,9,46
46442,YOUNG SINGLES/COUPLES,Budget,8,46
46444,OLDER SINGLES/COUPLES,Mainstream,5,46
46446,YOUNG SINGLES/COUPLES,Mainstream,4,46
46447,YOUNG SINGLES/COUPLES,Mainstream,4,46
46448,YOUNG SINGLES/COUPLES,Budget,6,46
46449,YOUNG SINGLES/COUPLES,Premium,8,46
46450,OLDER SINGLES/COUPLES,Mainstream,6,46
46451,OLDER SINGLES/COUPLES,Mainstream,10,46
46454,YOUNG SINGLES/COUPLES,Mainstream,7,46
46458,YOUNG SINGLES/COUPLES,Mainstream,3,46
46459,YOUNG SINGLES/COUPLES,Premium,9,46
46460,YOUNG FAMILIES,Mainstream,9,46
46461,MIDAGE SINGLES/COUPLES,Mainstream,13,46
46462,MIDAGE SINGLES/COUPLES,Budget,4,46
46463,RETIREES,Premium,12,46
46464,RETIREES,Budget,5,46
46465,OLDER SINGLES/COUPLES,Budget,2,46
46466,OLDER FAMILIES,Budget,11,46
46467,YOUNG SINGLES/COUPLES,Mainstream,7,46
46468,YOUNG SINGLES/COUPLES,Premium,5,46
46469,OLDER FAMILIES,Budget,14,46
46470,RETIREES,Budget,10,46
46471,MIDAGE SINGLES/COUPLES,Premium,12,46
46472,MIDAGE SINGLES/COUPLES,Premium,15,46
46473,YOUNG SINGLES/COUPLES,Budget,2,46
46475,MIDAGE SINGLES/COUPLES,Budget,13,46
46476,RETIREES,Budget,2,46
46477,YOUNG SINGLES/COUPLES,Mainstream,10,46
46480,OLDER FAMILIES,Budget,3,46
46483,OLDER FAMILIES,Premium,7,46
46484,OLDER SINGLES/COUPLES,Premium,11,46
46490,YOUNG SINGLES/COUPLES,Mainstream,1,46
46491,YOUNG FAMILIES,Mainstream,5,46
46492,OLDER FAMILIES,Mainstream,3,46
46493,OLDER SINGLES/COUPLES,Premium,8,46
46495,YOUNG SINGLES/COUPLES,Premium,1,46
46496,YOUNG FAMILIES,Budget,2,46
47000,YOUNG SINGLES/COUPLES,Mainstream,2,47
47002,OLDER FAMILIES,Mainstream,7,47
47004,OLDER SINGLES/COUPLES,Mainstream,2,47
47005,OLDER SINGLES/COUPLES,Mainstream,5,47
47006,OLDER SINGLES/COUPLES,Premium,4,47
47007,YOUNG SINGLES/COUPLES,Mainstream,2,47
47008,MIDAGE SINGLES/COUPLES,Premium,12,47
47009,MIDAGE SINGLES/COUPLES,Mainstream,4,47
47013,YOUNG SINGLES/COUPLES,Premium,6,47
47015,YOUNG SINGLES/COUPLES,Mainstream,2,47
47017,RETIREES,Budget,6,47
47018,YOUNG SINGLES/COUPLES,Premium,8,47
47020,YOUNG SINGLES/COUPLES,Premium,9,47
47021,YOUNG SINGLES/COUPLES,Mainstream,7,47
47022,NEW FAMILIES,Mainstream,6,47
47023,OLDER SINGLES/COUPLES,Budget,5,47
47025,YOUNG SINGLES/COUPLES,Mainstream,10,47
47026,YOUNG FAMILIES,Budget,7,47
47027,RETIREES,Mainstream,10,47
47029,YOUNG FAMILIES,Premium,1,47
47030,YOUNG FAMILIES,Premium,8,47
47031,RETIREES,Mainstream,14,47
47032,OLDER FAMILIES,Premium,3,47
47033,OLDER SINGLES/COUPLES,Premium,6,47
47034,MIDAGE SINGLES/COUPLES,Mainstream,6,47
47035,RETIREES,Mainstream,1,47
47036,OLDER SINGLES/COUPLES,Budget,5,47
47038,NEW FAMILIES,Mainstream,12,47
47039,MIDAGE SINGLES/COUPLES,Budget,8,47
47041,YOUNG SINGLES/COUPLES,Premium,10,47
47043,YOUNG SINGLES/COUPLES,Mainstream,3,47
47044,MIDAGE SINGLES/COUPLES,Mainstream,3,47
47045,OLDER SINGLES/COUPLES,Budget,14,47
47046,YOUNG SINGLES/COUPLES,Budget,1,47
47050,OLDER SINGLES/COUPLES,Mainstream,7,47
47051,YOUNG SINGLES/COUPLES,Mainstream,1,47
47052,RETIREES,Premium,13,47
47053,YOUNG SINGLES/COUPLES,Mainstream,2,47
47054,MIDAGE SINGLES/COUPLES,Mainstream,3,47
47055,OLDER SINGLES/COUPLES,Budget,2,47
47056,YOUNG SINGLES/COUPLES,Premium,5,47
47057,RETIREES,Premium,10,47
47058,OLDER FAMILIES,Budget,5,47
47059,OLDER SINGLES/COUPLES,Mainstream,6,47
47060,RETIREES,Mainstream,3,47
47062,NEW FAMILIES,Premium,6,47
47065,RETIREES,Budget,7,47
47066,YOUNG SINGLES/COUPLES,Premium,4,47
47067,NEW FAMILIES,Mainstream,4,47
47069,YOUNG SINGLES/COUPLES,Premium,6,47
47071,NEW FAMILIES,Budget,6,47
47072,NEW FAMILIES,Budget,6,47
47074,NEW FAMILIES,Mainstream,9,47
47075,RETIREES,Mainstream,9,47
47077,RETIREES,Mainstream,11,47
47078,YOUNG SINGLES/COUPLES,Mainstream,6,47
47079,YOUNG FAMILIES,Premium,4,47
47080,YOUNG SINGLES/COUPLES,Premium,9,47
47081,YOUNG FAMILIES,Premium,1,47
47083,YOUNG SINGLES/COUPLES,Mainstream,2,47
47085,YOUNG SINGLES/COUPLES,Mainstream,3,47
47086,RETIREES,Mainstream,14,47
47087,YOUNG SINGLES/COUPLES,Budget,4,47
47089,YOUNG SINGLES/COUPLES,Budget,5,47
47090,RETIREES,Premium,4,47
47094,OLDER SINGLES/COUPLES,Mainstream,14,47
47096,RETIREES,Premium,13,47
47099,RETIREES,Budget,7,47
47101,NEW FAMILIES,Mainstream,11,47
47102,YOUNG SINGLES/COUPLES,Mainstream,10,47
47103,RETIREES,Budget,11,47
47104,OLDER SINGLES/COUPLES,Mainstream,15,47
47105,RETIREES,Budget,5,47
47106,MIDAGE SINGLES/COUPLES,Mainstream,3,47
47109,MIDAGE SINGLES/COUPLES,Budget,2,47
47110,RETIREES,Mainstream,2,47
47111,NEW FAMILIES,Mainstream,11,47
47112,MIDAGE SINGLES/COUPLES,Premium,1,47
47113,YOUNG SINGLES/COUPLES,Mainstream,7,47
47114,MIDAGE SINGLES/COUPLES,Budget,3,47
47115,YOUNG SINGLES/COUPLES,Mainstream,8,47
47118,RETIREES,Budget,10,47
47119,OLDER SINGLES/COUPLES,Premium,15,47
47121,MIDAGE SINGLES/COUPLES,Premium,1,47
47122,RETIREES,Mainstream,14,47
47123,RETIREES,Mainstream,15,47
47124,OLDER FAMILIES,Budget,11,47
47125,OLDER SINGLES/COUPLES,Premium,14,47
47126,MIDAGE SINGLES/COUPLES,Premium,12,47
47127,YOUNG FAMILIES,Budget,2,47
47129,RETIREES,Budget,4,47
47130,YOUNG SINGLES/COUPLES,Premium,10,47
47131,OLDER SINGLES/COUPLES,Budget,4,47
47132,YOUNG SINGLES/COUPLES,Premium,6,47
47134,YOUNG SINGLES/COUPLES,Premium,4,47
47135,OLDER SINGLES/COUPLES,Premium,7,47
47136,RETIREES,Premium,6,47
47137,RETIREES,Mainstream,4,47
47138,MIDAGE SINGLES/COUPLES,Premium,15,47
47141,YOUNG SINGLES/COUPLES,Budget,6,47
47142,MIDAGE SINGLES/COUPLES,Budget,8,47
47143,MIDAGE SINGLES/COUPLES,Mainstream,10,47
47144,YOUNG FAMILIES,Budget,3,47
47145,OLDER FAMILIES,Premium,15,47
47146,OLDER SINGLES/COUPLES,Budget,10,47
47149,OLDER SINGLES/COUPLES,Mainstream,7,47
47150,OLDER SINGLES/COUPLES,Premium,13,47
47151,YOUNG SINGLES/COUPLES,Mainstream,6,47
47152,OLDER SINGLES/COUPLES,Mainstream,1,47
47153,YOUNG FAMILIES,Budget,2,47
47154,YOUNG SINGLES/COUPLES,Budget,8,47
47155,YOUNG SINGLES/COUPLES,Budget,10,47
47158,YOUNG FAMILIES,Budget,7,47
47159,OLDER SINGLES/COUPLES,Budget,10,47
47161,RETIREES,Premium,13,47
47162,OLDER SINGLES/COUPLES,Mainstream,11,47
47163,OLDER SINGLES/COUPLES,Budget,13,47
47164,YOUNG SINGLES/COUPLES,Mainstream,4,47
47166,YOUNG FAMILIES,Premium,6,47
47167,RETIREES,Mainstream,14,47
47169,YOUNG SINGLES/COUPLES,Mainstream,7,47
47170,YOUNG FAMILIES,Mainstream,9,47
47172,OLDER SINGLES/COUPLES,Mainstream,14,47
47177,OLDER FAMILIES,Mainstream,1,47
47178,OLDER SINGLES/COUPLES,Premium,8,47
47179,NEW FAMILIES,Budget,1,47
47181,RETIREES,Budget,4,47
47182,MIDAGE SINGLES/COUPLES,Budget,12,47
47183,OLDER SINGLES/COUPLES,Premium,11,47
47184,OLDER SINGLES/COUPLES,Premium,15,47
47185,OLDER SINGLES/COUPLES,Budget,2,47
47186,OLDER SINGLES/COUPLES,Budget,6,47
47187,OLDER SINGLES/COUPLES,Premium,9,47
47189,RETIREES,Premium,15,47
47190,OLDER FAMILIES,Mainstream,12,47
47191,RETIREES,Mainstream,4,47
47193,MIDAGE SINGLES/COUPLES,Budget,5,47
47197,YOUNG SINGLES/COUPLES,Budget,7,47
47198,OLDER SINGLES/COUPLES,Mainstream,3,47
47199,OLDER SINGLES/COUPLES,Premium,14,47
47200,YOUNG FAMILIES,Premium,7,47
47202,YOUNG SINGLES/COUPLES,Budget,6,47
47203,YOUNG SINGLES/COUPLES,Budget,7,47
47204,MIDAGE SINGLES/COUPLES,Budget,4,47
47205,OLDER FAMILIES,Budget,5,47
47206,YOUNG SINGLES/COUPLES,Mainstream,2,47
47207,YOUNG SINGLES/COUPLES,Budget,9,47
47208,OLDER SINGLES/COUPLES,Budget,13,47
47209,OLDER FAMILIES,Budget,15,47
47211,RETIREES,Premium,5,47
47212,MIDAGE SINGLES/COUPLES,Premium,15,47
47213,OLDER FAMILIES,Budget,1,47
47214,OLDER FAMILIES,Budget,2,47
47216,YOUNG FAMILIES,Budget,6,47
47217,YOUNG SINGLES/COUPLES,Mainstream,9,47
47219,RETIREES,Mainstream,9,47
47220,OLDER FAMILIES,Budget,8,47
47221,YOUNG FAMILIES,Premium,2,47
47222,RETIREES,Budget,10,47
47223,MIDAGE SINGLES/COUPLES,Budget,6,47
47225,MIDAGE SINGLES/COUPLES,Mainstream,7,47
47226,OLDER SINGLES/COUPLES,Mainstream,13,47
47228,YOUNG SINGLES/COUPLES,Budget,10,47
47229,RETIREES,Budget,10,47
47230,YOUNG SINGLES/COUPLES,Premium,8,47
47232,YOUNG SINGLES/COUPLES,Budget,7,47
47234,OLDER FAMILIES,Budget,10,47
47237,RETIREES,Premium,9,47
47238,YOUNG SINGLES/COUPLES,Mainstream,10,47
47239,OLDER SINGLES/COUPLES,Premium,10,47
47241,OLDER FAMILIES,Budget,8,47
47242,RETIREES,Budget,3,47
47243,RETIREES,Budget,4,47
47244,YOUNG FAMILIES,Mainstream,8,47
47245,MIDAGE SINGLES/COUPLES,Budget,15,47
47247,RETIREES,Premium,1,47
47248,NEW FAMILIES,Premium,8,47
47249,YOUNG SINGLES/COUPLES,Mainstream,9,47
47250,RETIREES,Premium,11,47
47251,OLDER SINGLES/COUPLES,Mainstream,3,47
47252,MIDAGE SINGLES/COUPLES,Premium,11,47
47253,NEW FAMILIES,Budget,1,47
47256,OLDER SINGLES/COUPLES,Budget,3,47
47257,YOUNG SINGLES/COUPLES,Premium,8,47
47258,RETIREES,Budget,14,47
47260,OLDER SINGLES/COUPLES,Premium,13,47
47261,RETIREES,Mainstream,10,47
47263,OLDER FAMILIES,Budget,3,47
47264,YOUNG FAMILIES,Premium,6,47
47265,YOUNG SINGLES/COUPLES,Mainstream,5,47
47267,YOUNG SINGLES/COUPLES,Budget,1,47
47268,OLDER SINGLES/COUPLES,Premium,14,47
47269,YOUNG SINGLES/COUPLES,Mainstream,1,47
47271,MIDAGE SINGLES/COUPLES,Budget,8,47
47272,RETIREES,Budget,3,47
47273,OLDER SINGLES/COUPLES,Budget,4,47
47275,RETIREES,Mainstream,4,47
47276,YOUNG FAMILIES,Mainstream,2,47
47278,MIDAGE SINGLES/COUPLES,Mainstream,9,47
47279,OLDER FAMILIES,Budget,6,47
47282,YOUNG SINGLES/COUPLES,Premium,4,47
