name,price,mileage,engine_type,transmission_type,color,drivewheel_configuration
Used 2021 Ford F150 XLT,35859,"44,435",8-Cylinder,Automatic,White,4 wheel drive
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,34800,"37,203",6-Cylinder Turbo,Automatic,Gray,4 wheel drive
Used 2021 Ford Mustang Mach 1,49851,"1,318",8-Cylinder,Manual,Orange,2 wheel drive - rear
Used 2019 Ford F250 Lariat,55972,"62,147",8-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2019 Ford F250 XLT,43500,"56,087",8-Cylinder,Automatic,White,4 Wheel Drive
Used 2020 Ford Expedition Max Platinum,53310,"29,207",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2017 Ford F150 XLT,20931,"129,857",8-Cylinder,Automatic,Silver,2 wheel drive - rear
Used 2017 Ford F250 Platinum w/ Platinum Ultimate Package,66778,"33,100",8-Cylinder Turbo,Automatic,Red,4 wheel drive
Used 2022 Ford F150 XLT w/ Equipment Group 302A High,0,"3,563",8-Cylinder,Automatic,Gray,4 wheel drive
Used 2018 Ford Mustang Shelby GT350 w/ Electronics Package,59884,"21,381",8-Cylinder,Manual,Gray,2 wheel drive - rear
Used 2022 Ford Expedition King Ranch,0,"18,313",6-Cylinder Turbo,Automatic,Blue,2 wheel drive - rear
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,32995,"59,741",8-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Transit 350 XLT,0,"90,451",6-Cylinder,Automatic,White,2 wheel drive - rear
Certified 2020 Ford F150 Raptor w/ Equipment Group 802A Luxury,46995,"101,313",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2023 Ford Expedition Max Limited,69995,"3,042",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2022 Ford Maverick XLT,0,"28,856",Gas / Electric Hybrid,Automatic,Blue,2 wheel drive - front
Used 2023 Ford F150 XL w/ STX Appearance Package,0,"5,194",6-Cylinder Turbo,Automatic,Blue,4 wheel drive
Used 2017 Ford F150 XLT w/ Equipment Group 301A Mid,0,"35,923",8-Cylinder,Automatic,,4 wheel drive
Certified 2022 Ford F350 Platinum,83995,"14,727",8-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2022 Ford Ranger Lariat w/ FX4 Off-Road Package,38995,"15,442",4-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2018 Ford Fusion SE w/ Fusion SE Technology Package,15995,"59,595",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Certified 2018 Ford Explorer Limited,21995,"85,674",6-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Edge SEL w/ Equipment Group 201A,0,"58,253",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2020 Ford Expedition Limited,0,"74,727",6-Cylinder Turbo,Automatic,Black,2 wheel drive - rear
Used 2022 Ford F250 XLT w/ XLT Premium Package,54990,"10,929",8-Cylinder,Automatic,Gray,4 Wheel Drive
Certified 2020 Ford Escape S,17200,"87,753",3-Cylinder Turbo,Automatic,White,2 Wheel Drive - Front
Used 2022 Ford Mustang Mach-E Select,33767,"22,300",Electric,Automatic,Gray,2 wheel drive - rear
Used 2021 Ford F150 XLT,35859,"44,435",8-Cylinder,Automatic,White,4 wheel drive
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,34800,"37,203",6-Cylinder Turbo,Automatic,Gray,4 wheel drive
Used 2021 Ford Mustang Mach 1,49851,"1,318",8-Cylinder,Manual,Orange,2 wheel drive - rear
Used 2019 Ford F250 Lariat,55972,"62,147",8-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2021 Ford Explorer Limited,33000,"52,000",4-Cylinder Turbo,Automatic,Silver,4 Wheel Drive
Used 2020 Ford Expedition Max Platinum,53310,"29,207",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2017 Ford F150 XLT,20931,"129,857",8-Cylinder,Automatic,Silver,2 wheel drive - rear
Used 2017 Ford F250 Platinum w/ Platinum Ultimate Package,66778,"33,100",8-Cylinder Turbo,Automatic,Red,4 wheel drive
Used 2022 Ford F150 XLT w/ Equipment Group 302A High,0,"3,563",8-Cylinder,Automatic,Gray,4 wheel drive
Used 2018 Ford Mustang Shelby GT350 w/ Electronics Package,59884,"21,381",8-Cylinder,Manual,Gray,2 wheel drive - rear
Used 2022 Ford Expedition King Ranch,0,"18,313",6-Cylinder Turbo,Automatic,Blue,2 wheel drive - rear
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,32995,"59,741",8-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Transit 350 XLT,0,"90,451",6-Cylinder,Automatic,White,2 wheel drive - rear
Certified 2020 Ford F150 Raptor w/ Equipment Group 802A Luxury,46995,"101,313",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2023 Ford Expedition Max Limited,69995,"3,042",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2022 Ford Maverick XLT,0,"28,856",Gas / Electric Hybrid,Automatic,Blue,2 wheel drive - front
Used 2023 Ford F150 XL w/ STX Appearance Package,0,"5,194",6-Cylinder Turbo,Automatic,Blue,4 wheel drive
Used 2017 Ford F150 XLT w/ Equipment Group 301A Mid,0,"35,923",8-Cylinder,Automatic,,4 wheel drive
Certified 2022 Ford F350 Platinum,83995,"14,727",8-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2022 Ford Ranger Lariat w/ FX4 Off-Road Package,38995,"15,442",4-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2018 Ford Fusion SE w/ Fusion SE Technology Package,15995,"59,595",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Certified 2018 Ford Explorer Limited,21995,"85,674",6-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Edge SEL w/ Equipment Group 201A,0,"58,253",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2020 Ford Expedition Limited,0,"74,727",6-Cylinder Turbo,Automatic,Black,2 wheel drive - rear
Used 2018 Ford Edge SEL w/ Ford Safe & Smart Package,19899,"54,026",4-Cylinder Turbo,Automatic,Blue,2 Wheel Drive - Front
Certified 2020 Ford Ranger XLT w/ FX4 Off-Road Package,32991,"40,117",4-Cylinder Turbo,Automatic,Gray,4 Wheel Drive
Used 2022 Ford Mustang Mach-E Select,33767,"22,300",Electric,Automatic,Gray,2 wheel drive - rear
Used 2021 Ford F150 XLT,35859,"44,435",8-Cylinder,Automatic,White,4 wheel drive
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,34800,"37,203",6-Cylinder Turbo,Automatic,Gray,4 wheel drive
Used 2021 Ford Mustang Mach 1,49851,"1,318",8-Cylinder,Manual,Orange,2 wheel drive - rear
Used 2019 Ford F250 Lariat,55972,"62,147",8-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2018 Ford Taurus SEL w/ Equipment Group 201A,17000,"51,541",6-Cylinder,Automatic,Red,2 Wheel Drive - Front
Used 2020 Ford Expedition Max Platinum,53310,"29,207",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2017 Ford F150 XLT,20931,"129,857",8-Cylinder,Automatic,Silver,2 wheel drive - rear
Used 2017 Ford F250 Platinum w/ Platinum Ultimate Package,66778,"33,100",8-Cylinder Turbo,Automatic,Red,4 wheel drive
Used 2022 Ford F150 XLT w/ Equipment Group 302A High,0,"3,563",8-Cylinder,Automatic,Gray,4 wheel drive
Used 2018 Ford Mustang Shelby GT350 w/ Electronics Package,59884,"21,381",8-Cylinder,Manual,Gray,2 wheel drive - rear
Used 2022 Ford Expedition King Ranch,0,"18,313",6-Cylinder Turbo,Automatic,Blue,2 wheel drive - rear
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,32995,"59,741",8-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Transit 350 XLT,0,"90,451",6-Cylinder,Automatic,White,2 wheel drive - rear
Certified 2020 Ford F150 Raptor w/ Equipment Group 802A Luxury,46995,"101,313",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2023 Ford Expedition Max Limited,69995,"3,042",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2022 Ford Maverick XLT,0,"28,856",Gas / Electric Hybrid,Automatic,Blue,2 wheel drive - front
Used 2023 Ford F150 XL w/ STX Appearance Package,0,"5,194",6-Cylinder Turbo,Automatic,Blue,4 wheel drive
Used 2017 Ford F150 XLT w/ Equipment Group 301A Mid,0,"35,923",8-Cylinder,Automatic,,4 wheel drive
Certified 2022 Ford F350 Platinum,83995,"14,727",8-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2022 Ford Ranger Lariat w/ FX4 Off-Road Package,38995,"15,442",4-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2018 Ford Fusion SE w/ Fusion SE Technology Package,15995,"59,595",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Certified 2018 Ford Explorer Limited,21995,"85,674",6-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Edge SEL w/ Equipment Group 201A,0,"58,253",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2020 Ford Expedition Limited,0,"74,727",6-Cylinder Turbo,Automatic,Black,2 wheel drive - rear
Used 2020 Ford F150 XLT w/ Equipment Group 302A Luxury,36990,"27,475",8-Cylinder,Automatic,Gray,4 Wheel Drive
Used 2019 Ford Fusion SE,15700,"57,972",4-Cylinder Turbo,Automatic,White,2 Wheel Drive - Front
Used 2022 Ford Mustang Mach-E Select,33767,"22,300",Electric,Automatic,Gray,2 wheel drive - rear
Used 2021 Ford F150 XLT,35859,"44,435",8-Cylinder,Automatic,White,4 wheel drive
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,34800,"37,203",6-Cylinder Turbo,Automatic,Gray,4 wheel drive
Used 2021 Ford Mustang Mach 1,49851,"1,318",8-Cylinder,Manual,Orange,2 wheel drive - rear
Used 2019 Ford F250 Lariat,55972,"62,147",8-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2021 Ford F350 Lariat w/ Lariat Value Package,74950,"36,233",8-Cylinder Turbo,Automatic,Silver,4 Wheel Drive
Used 2020 Ford Expedition Max Platinum,53310,"29,207",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2017 Ford F150 XLT,20931,"129,857",8-Cylinder,Automatic,Silver,2 wheel drive - rear
Used 2017 Ford F250 Platinum w/ Platinum Ultimate Package,66778,"33,100",8-Cylinder Turbo,Automatic,Red,4 wheel drive
Used 2022 Ford F150 XLT w/ Equipment Group 302A High,0,"3,563",8-Cylinder,Automatic,Gray,4 wheel drive
Used 2018 Ford Mustang Shelby GT350 w/ Electronics Package,59884,"21,381",8-Cylinder,Manual,Gray,2 wheel drive - rear
Used 2022 Ford Expedition King Ranch,0,"18,313",6-Cylinder Turbo,Automatic,Blue,2 wheel drive - rear
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,32995,"59,741",8-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Transit 350 XLT,0,"90,451",6-Cylinder,Automatic,White,2 wheel drive - rear
Certified 2020 Ford F150 Raptor w/ Equipment Group 802A Luxury,46995,"101,313",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2023 Ford Expedition Max Limited,69995,"3,042",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2022 Ford Maverick XLT,0,"28,856",Gas / Electric Hybrid,Automatic,Blue,2 wheel drive - front
Used 2023 Ford F150 XL w/ STX Appearance Package,0,"5,194",6-Cylinder Turbo,Automatic,Blue,4 wheel drive
Used 2017 Ford F150 XLT w/ Equipment Group 301A Mid,0,"35,923",8-Cylinder,Automatic,,4 wheel drive
Certified 2022 Ford F350 Platinum,83995,"14,727",8-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2022 Ford Ranger Lariat w/ FX4 Off-Road Package,38995,"15,442",4-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2018 Ford Fusion SE w/ Fusion SE Technology Package,15995,"59,595",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Certified 2018 Ford Explorer Limited,21995,"85,674",6-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Edge SEL w/ Equipment Group 201A,0,"58,253",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2020 Ford Expedition Limited,0,"74,727",6-Cylinder Turbo,Automatic,Black,2 wheel drive - rear
Used 2020 Ford F350 Platinum w/ FX4 Off-Road Package,67312,"69,818",8-Cylinder Turbo,Automatic,Blue,4 Wheel Drive
Used 2020 Ford Explorer Platinum w/ Premium Technology Package,38845,"23,519",6-Cylinder Turbo,Automatic,Black,4 Wheel Drive
Used 2022 Ford Mustang Mach-E Select,33767,"22,300",Electric,Automatic,Gray,2 wheel drive - rear
Used 2021 Ford F150 XLT,35859,"44,435",8-Cylinder,Automatic,White,4 wheel drive
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,34800,"37,203",6-Cylinder Turbo,Automatic,Gray,4 wheel drive
Used 2021 Ford Mustang Mach 1,49851,"1,318",8-Cylinder,Manual,Orange,2 wheel drive - rear
Used 2019 Ford F250 Lariat,55972,"62,147",8-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2021 Ford F150 Raptor w/ Convenience Package,73979,"47,802",6-Cylinder Turbo,Automatic,Black,4 Wheel Drive
Used 2020 Ford Expedition Max Platinum,53310,"29,207",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2017 Ford F150 XLT,20931,"129,857",8-Cylinder,Automatic,Silver,2 wheel drive - rear
Used 2017 Ford F250 Platinum w/ Platinum Ultimate Package,66778,"33,100",8-Cylinder Turbo,Automatic,Red,4 wheel drive
Used 2022 Ford F150 XLT w/ Equipment Group 302A High,0,"3,563",8-Cylinder,Automatic,Gray,4 wheel drive
Used 2018 Ford Mustang Shelby GT350 w/ Electronics Package,59884,"21,381",8-Cylinder,Manual,Gray,2 wheel drive - rear
Used 2022 Ford Expedition King Ranch,0,"18,313",6-Cylinder Turbo,Automatic,Blue,2 wheel drive - rear
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,32995,"59,741",8-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Transit 350 XLT,0,"90,451",6-Cylinder,Automatic,White,2 wheel drive - rear
Certified 2020 Ford F150 Raptor w/ Equipment Group 802A Luxury,46995,"101,313",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2023 Ford Expedition Max Limited,69995,"3,042",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2022 Ford Maverick XLT,0,"28,856",Gas / Electric Hybrid,Automatic,Blue,2 wheel drive - front
Used 2023 Ford F150 XL w/ STX Appearance Package,0,"5,194",6-Cylinder Turbo,Automatic,Blue,4 wheel drive
Used 2017 Ford F150 XLT w/ Equipment Group 301A Mid,0,"35,923",8-Cylinder,Automatic,,4 wheel drive
Certified 2022 Ford F350 Platinum,83995,"14,727",8-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2022 Ford Ranger Lariat w/ FX4 Off-Road Package,38995,"15,442",4-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2018 Ford Fusion SE w/ Fusion SE Technology Package,15995,"59,595",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Certified 2018 Ford Explorer Limited,21995,"85,674",6-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Edge SEL w/ Equipment Group 201A,0,"58,253",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2020 Ford Expedition Limited,0,"74,727",6-Cylinder Turbo,Automatic,Black,2 wheel drive - rear
Used 2022 Ford F150 Platinum w/ Bed Utility Package,58400,"47,471",6-Cylinder Turbo,Automatic,Silver,4 Wheel Drive
Certified 2023 Ford F150 XL w/ STX Appearance Package,51500,"4,193",8-Cylinder,Automatic,White,4 Wheel Drive
Used 2022 Ford Mustang Mach-E Select,33767,"22,300",Electric,Automatic,Gray,2 wheel drive - rear
Used 2021 Ford F150 XLT,35859,"44,435",8-Cylinder,Automatic,White,4 wheel drive
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,34800,"37,203",6-Cylinder Turbo,Automatic,Gray,4 wheel drive
Used 2021 Ford Mustang Mach 1,49851,"1,318",8-Cylinder,Manual,Orange,2 wheel drive - rear
Used 2019 Ford F250 Lariat,55972,"62,147",8-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2020 Ford Expedition Platinum,52532,"31,250",6-Cylinder Turbo,Automatic,White,2 Wheel Drive - Rear
Used 2020 Ford Expedition Max Platinum,53310,"29,207",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2017 Ford F150 XLT,20931,"129,857",8-Cylinder,Automatic,Silver,2 wheel drive - rear
Used 2017 Ford F250 Platinum w/ Platinum Ultimate Package,66778,"33,100",8-Cylinder Turbo,Automatic,Red,4 wheel drive
Used 2022 Ford F150 XLT w/ Equipment Group 302A High,0,"3,563",8-Cylinder,Automatic,Gray,4 wheel drive
Used 2018 Ford Mustang Shelby GT350 w/ Electronics Package,59884,"21,381",8-Cylinder,Manual,Gray,2 wheel drive - rear
Used 2022 Ford Expedition King Ranch,0,"18,313",6-Cylinder Turbo,Automatic,Blue,2 wheel drive - rear
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,32995,"59,741",8-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Transit 350 XLT,0,"90,451",6-Cylinder,Automatic,White,2 wheel drive - rear
Certified 2020 Ford F150 Raptor w/ Equipment Group 802A Luxury,46995,"101,313",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2023 Ford Expedition Max Limited,69995,"3,042",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2022 Ford Maverick XLT,0,"28,856",Gas / Electric Hybrid,Automatic,Blue,2 wheel drive - front
Used 2023 Ford F150 XL w/ STX Appearance Package,0,"5,194",6-Cylinder Turbo,Automatic,Blue,4 wheel drive
Used 2017 Ford F150 XLT w/ Equipment Group 301A Mid,0,"35,923",8-Cylinder,Automatic,,4 wheel drive
Certified 2022 Ford F350 Platinum,83995,"14,727",8-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2022 Ford Ranger Lariat w/ FX4 Off-Road Package,38995,"15,442",4-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2018 Ford Fusion SE w/ Fusion SE Technology Package,15995,"59,595",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Certified 2018 Ford Explorer Limited,21995,"85,674",6-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Edge SEL w/ Equipment Group 201A,0,"58,253",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2020 Ford Expedition Limited,0,"74,727",6-Cylinder Turbo,Automatic,Black,2 wheel drive - rear
Used 2021 Ford Explorer XLT w/ Equipment Group 202A,36000,"20,702",4-Cylinder Turbo,Automatic,Black,4 Wheel Drive
Certified 2022 Ford F150 King Ranch,69789,"26,284",Hybrid,Automatic,Blue,4 Wheel Drive
Used 2022 Ford Mustang Mach-E Select,33767,"22,300",Electric,Automatic,Gray,2 wheel drive - rear
Used 2021 Ford F150 XLT,35859,"44,435",8-Cylinder,Automatic,White,4 wheel drive
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,34800,"37,203",6-Cylinder Turbo,Automatic,Gray,4 wheel drive
Used 2021 Ford Mustang Mach 1,49851,"1,318",8-Cylinder,Manual,Orange,2 wheel drive - rear
Used 2019 Ford F250 Lariat,55972,"62,147",8-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2021 Ford Bronco Sport Big Bend,27991,"32,810",3-Cylinder Turbo,Automatic,Gray,4 Wheel Drive
Used 2020 Ford Expedition Max Platinum,53310,"29,207",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2017 Ford F150 XLT,20931,"129,857",8-Cylinder,Automatic,Silver,2 wheel drive - rear
Used 2017 Ford F250 Platinum w/ Platinum Ultimate Package,66778,"33,100",8-Cylinder Turbo,Automatic,Red,4 wheel drive
Used 2022 Ford F150 XLT w/ Equipment Group 302A High,0,"3,563",8-Cylinder,Automatic,Gray,4 wheel drive
Used 2018 Ford Mustang Shelby GT350 w/ Electronics Package,59884,"21,381",8-Cylinder,Manual,Gray,2 wheel drive - rear
Used 2022 Ford Expedition King Ranch,0,"18,313",6-Cylinder Turbo,Automatic,Blue,2 wheel drive - rear
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,32995,"59,741",8-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Transit 350 XLT,0,"90,451",6-Cylinder,Automatic,White,2 wheel drive - rear
Certified 2020 Ford F150 Raptor w/ Equipment Group 802A Luxury,46995,"101,313",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2023 Ford Expedition Max Limited,69995,"3,042",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2022 Ford Maverick XLT,0,"28,856",Gas / Electric Hybrid,Automatic,Blue,2 wheel drive - front
Used 2023 Ford F150 XL w/ STX Appearance Package,0,"5,194",6-Cylinder Turbo,Automatic,Blue,4 wheel drive
Used 2017 Ford F150 XLT w/ Equipment Group 301A Mid,0,"35,923",8-Cylinder,Automatic,,4 wheel drive
Certified 2022 Ford F350 Platinum,83995,"14,727",8-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2022 Ford Ranger Lariat w/ FX4 Off-Road Package,38995,"15,442",4-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2018 Ford Fusion SE w/ Fusion SE Technology Package,15995,"59,595",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Certified 2018 Ford Explorer Limited,21995,"85,674",6-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Edge SEL w/ Equipment Group 201A,0,"58,253",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2020 Ford Expedition Limited,0,"74,727",6-Cylinder Turbo,Automatic,Black,2 wheel drive - rear
Used 2021 Ford Bronco First Edition,67899,"4,372",6-Cylinder Turbo,Automatic,Blue,4 Wheel Drive
Used 2019 Ford Fusion S,17689,"37,898",4-Cylinder,Automatic,Blue,2 Wheel Drive - Front
Used 2022 Ford Mustang Mach-E Select,33767,"22,300",Electric,Automatic,Gray,2 wheel drive - rear
Used 2021 Ford F150 XLT,35859,"44,435",8-Cylinder,Automatic,White,4 wheel drive
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,34800,"37,203",6-Cylinder Turbo,Automatic,Gray,4 wheel drive
Used 2021 Ford Mustang Mach 1,49851,"1,318",8-Cylinder,Manual,Orange,2 wheel drive - rear
Used 2019 Ford F250 Lariat,55972,"62,147",8-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2018 Ford F150 XLT w/ Equipment Group 302A Luxury,26810,"63,849",6-Cylinder Turbo,Automatic,Unknown,2 Wheel Drive - Rear
Used 2020 Ford Expedition Max Platinum,53310,"29,207",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2017 Ford F150 XLT,20931,"129,857",8-Cylinder,Automatic,Silver,2 wheel drive - rear
Used 2017 Ford F250 Platinum w/ Platinum Ultimate Package,66778,"33,100",8-Cylinder Turbo,Automatic,Red,4 wheel drive
Used 2022 Ford F150 XLT w/ Equipment Group 302A High,0,"3,563",8-Cylinder,Automatic,Gray,4 wheel drive
Used 2018 Ford Mustang Shelby GT350 w/ Electronics Package,59884,"21,381",8-Cylinder,Manual,Gray,2 wheel drive - rear
Used 2022 Ford Expedition King Ranch,0,"18,313",6-Cylinder Turbo,Automatic,Blue,2 wheel drive - rear
Used 2019 Ford F150 XLT w/ Equipment Group 302A Luxury,32995,"59,741",8-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Transit 350 XLT,0,"90,451",6-Cylinder,Automatic,White,2 wheel drive - rear
Certified 2020 Ford F150 Raptor w/ Equipment Group 802A Luxury,46995,"101,313",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2023 Ford Expedition Max Limited,69995,"3,042",6-Cylinder Turbo,Automatic,Black,4 wheel drive
Used 2022 Ford Maverick XLT,0,"28,856",Gas / Electric Hybrid,Automatic,Blue,2 wheel drive - front
Used 2023 Ford F150 XL w/ STX Appearance Package,0,"5,194",6-Cylinder Turbo,Automatic,Blue,4 wheel drive
Used 2017 Ford F150 XLT w/ Equipment Group 301A Mid,0,"35,923",8-Cylinder,Automatic,,4 wheel drive
Certified 2022 Ford F350 Platinum,83995,"14,727",8-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2022 Ford Ranger Lariat w/ FX4 Off-Road Package,38995,"15,442",4-Cylinder Turbo,Automatic,Gray,4 wheel drive
Certified 2018 Ford Fusion SE w/ Fusion SE Technology Package,15995,"59,595",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Certified 2018 Ford Explorer Limited,21995,"85,674",6-Cylinder,Automatic,Silver,4 wheel drive
Used 2019 Ford Edge SEL w/ Equipment Group 201A,0,"58,253",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2020 Ford Expedition Limited,0,"74,727",6-Cylinder Turbo,Automatic,Black,2 wheel drive - rear
Certified 2024 Genesis GV80 3.5T w/ Prestige Package,78000,75,6-Cylinder Turbo,Automatic,Black,All Wheel Drive
Used 2018 Genesis G80 3.8,28888,"34,749",6-Cylinder,Automatic,White,2 Wheel Drive - Rear
Used 2023 Genesis G70 2.0T,39995,"4,864",4-Cylinder Turbo,Automatic,Red,2 Wheel Drive - Rear
Used 2023 Genesis G80 3.5T,66895,387,6-Cylinder Turbo,Automatic,White,All Wheel Drive
Used 2023 Genesis GV60 Performance,58995,"5,011",Electric,Automatic,Brown,All Wheel Drive
Used 2023 Genesis GV80 3.5T Advanced +,67595,"12,768",6-Cylinder Turbo,Automatic,Black,All Wheel Drive
Used 2023 Genesis GV70 3.5T Sport,62995,"8,748",6-Cylinder Turbo,Automatic,Gray,All Wheel Drive
Used 2023 Genesis GV70 3.5T Sport,58990,"10,959",6-Cylinder Turbo,Automatic,Red,All Wheel Drive
Used 2020 Genesis G70 2.0T w/ Prestige Package,27495,"55,016",4-Cylinder Turbo,Automatic,Gray,2 Wheel Drive - Rear
Used 2023 Genesis GV80 3.5T Advanced +,67995,"3,968",6-Cylinder Turbo,Automatic,Black,All Wheel Drive
Used 2019 Genesis G80 3.8,30395,"24,432",6-Cylinder,Automatic,Black,2 Wheel Drive - Rear
Used 2021 Genesis GV80 3.5T,50295,"34,168",6-Cylinder Turbo,Automatic,Silver,All Wheel Drive
Used 2021 Genesis GV80 2.5T,45289,"20,972",4-Cylinder Turbo,Automatic,Gray,2 Wheel Drive - Rear
Used 2022 Genesis GV80 2.5T,46999,"31,446",4-Cylinder Turbo,Automatic,Blue,2 Wheel Drive - Rear
Used 2022 Genesis GV80 2.5T,52565,"13,556",4-Cylinder Turbo,Automatic,Green,All Wheel Drive
Used 2019 Genesis G70 3.3T Dynamic,29500,"17,253",6-Cylinder Turbo,Automatic,Burgundy,2 Wheel Drive - Rear
Used 2019 Genesis G80 5.0 Ultimate,28000,"47,878",8-Cylinder,Automatic,White,2 Wheel Drive - Rear
Used 2021 Genesis G70 2.0T,27588,"30,332",4-Cylinder Turbo,Automatic,Red,All Wheel Drive
Used 2022 Genesis GV80 3.5T,56488,"31,711",6-Cylinder Turbo,Automatic,Green,All Wheel Drive
Used 2023 Genesis G70 2.0T,41075,"1,632",4-Cylinder Turbo,Automatic,Blue,All Wheel Drive
Used 2023 Genesis GV80 2.5T,53500,"8,056",4-Cylinder Turbo,Automatic,Silver,All Wheel Drive
